Breaks;Date;Time;V2V_CAPTAGE_CO2 [B];VANNE_PROP_FOND [I];VANNE_UTA_CHAUD [I];VANNE_UTA_FROID [I];VENTILATEUR_CTA [B];MOLE_CO2_DERIVEE [R];ORIGINE_COLONNES [B];V2V_INJECTION_N2 [B];V2V_INJECTION_O2 [B];V2V_INJ_AIR_NEUF [B]
OPEN;19/06/2025;21:18:31;0;0;27;0;1;322;0;0;0;1
OPEN;19/06/2025;21:19:01;0;0;0;35;1;292;0;0;0;1
OPEN;19/06/2025;21:19:31;0;0;0;14;1;267;0;0;0;1
OPEN;19/06/2025;21:20:01;0;0;80;0;1;301;0;0;0;1
OPEN;19/06/2025;21:20:31;0;0;100;0;1;302;0;0;0;1
OPEN;19/06/2025;21:21:01;0;0;75;0;1;329;0;0;0;1
OPEN;19/06/2025;21:21:31;0;0;12;0;1;274;0;0;0;1
OPEN;19/06/2025;21:22:01;0;0;0;44;1;303;0;0;0;1
OPEN;19/06/2025;21:22:31;0;0;9;0;1;306;0;0;0;1
OPEN;19/06/2025;21:23:01;0;0;88;0;1;308;0;0;0;1
OPEN;19/06/2025;21:23:31;0;0;100;0;1;279;0;0;0;1
OPEN;19/06/2025;21:24:01;0;0;67;0;1;318;0;0;0;1
OPEN;19/06/2025;21:24:31;0;0;4;5;1;277;0;0;0;1
OPEN;19/06/2025;21:25:01;0;0;0;40;1;281;0;0;0;1
OPEN;19/06/2025;21:25:31;0;0;25;0;1;263;0;0;0;1
OPEN;19/06/2025;21:26:01;0;0;88;0;1;294;0;0;0;1
OPEN;19/06/2025;21:26:31;0;0;84;0;1;307;0;0;0;1
OPEN;19/06/2025;21:27:01;0;0;42;0;1;279;0;0;0;1
OPEN;19/06/2025;21:27:31;0;0;0;22;1;311;0;0;0;1
OPEN;19/06/2025;21:28:01;0;0;0;27;1;300;0;0;0;1
OPEN;19/06/2025;21:28:31;0;0;59;0;1;310;0;0;0;1
OPEN;19/06/2025;21:29:01;0;0;100;0;1;291;0;0;0;1
OPEN;19/06/2025;21:29:31;0;0;80;0;1;346;0;0;0;1
OPEN;19/06/2025;21:30:01;0;0;27;0;1;287;0;0;0;1
OPEN;19/06/2025;21:30:31;0;0;0;35;1;303;0;0;0;1
OPEN;19/06/2025;21:31:01;0;0;0;9;1;272;0;0;0;1
OPEN;19/06/2025;21:31:31;0;0;75;0;1;274;0;0;0;1
OPEN;19/06/2025;21:32:01;0;0;92;0;1;301;0;0;0;1
OPEN;19/06/2025;21:32:31;0;0;63;0;1;318;0;0;0;1
OPEN;19/06/2025;21:33:01;0;0;8;0;1;281;0;0;0;1
OPEN;19/06/2025;21:33:31;0;0;0;35;1;302;0;0;0;1
OPEN;19/06/2025;21:34:01;0;0;30;0;1;254;0;0;0;1
OPEN;19/06/2025;21:34:31;0;0;92;0;1;323;0;0;0;1
OPEN;19/06/2025;21:35:01;0;0;88;0;1;342;0;0;0;1
OPEN;19/06/2025;21:35:31;0;0;45;0;1;322;0;0;0;1
OPEN;19/06/2025;21:36:01;0;0;0;18;1;306;0;0;0;1
OPEN;19/06/2025;21:36:31;0;0;0;40;1;314;0;0;0;1
OPEN;19/06/2025;21:37:01;0;0;46;0;1;302;0;0;0;1
OPEN;19/06/2025;21:37:31;0;0;100;0;1;321;0;0;0;1
OPEN;19/06/2025;21:38:01;0;0;92;0;1;268;0;0;0;1
OPEN;19/06/2025;21:38:32;0;0;42;0;1;306;0;0;0;1
