Breaks;Date;Time;VIDANGE_CANIVEAU [B];CONSIGNE_ROTATION [I];CONSIGNE_TEMP_INF [R];CONSIGNE_TEMP_SUP [R];DESHUMIDIFICATEUR [B];POIDS_EAU_CELLULE [R];POMPE_GENER_CHAUD [B];POMPE_GENER_FROID [B];TEMPERATURE_SONDE [R];V2V_ABSORBTION_O2 [B]
OPEN;19/06/2025;11:18:08;0;0;12;12;0;6,1946759;1;1;12,3;0
OPEN;19/06/2025;11:18:38;0;0;12;12;0;5,875494;1;1;12,5;0
OPEN;19/06/2025;11:18:48;0;0;12;12;0;4,6348958;1;1;12,5;0
OPEN;19/06/2025;11:19:08;0;0;12;12;1;4,6348958;1;1;12,5;0
OPEN;19/06/2025;11:19:38;0;0;12;12;1;4,5773726;1;1;12,2;0
OPEN;19/06/2025;11:20:08;0;0;12;12;1;5,1045585;1;1;12,1;0
OPEN;19/06/2025;11:20:27;0;0;12;12;1;5,7563586;1;1;12,2;0
OPEN;19/06/2025;11:20:38;0;0;12;12;0;5,7563586;1;1;12,2;0
OPEN;19/06/2025;11:21:08;0;0;12;12;0;6,2774854;1;1;12,4;0
OPEN;19/06/2025;11:21:38;0;0;12;12;0;5,5407462;1;1;12,5;0
OPEN;19/06/2025;11:21:42;0;0;12;12;0;4,481276;1;1;12,4;0
OPEN;19/06/2025;11:22:08;0;0;12;12;1;4,481276;1;1;12,4;0
OPEN;19/06/2025;11:22:38;0;0;12;12;1;4,7017808;1;1;12,2;0
OPEN;19/06/2025;11:23:08;0;0;12;12;1;5,1738844;1;1;12,1;0
OPEN;19/06/2025;11:23:17;0;0;12;12;1;5,9520431;1;1;12,2;0
