Datetime;Breaks;VANNE_UTA_CHAUD [I];VANNE_UTA_FROID [I];TEMPERATURE_SONDE [R];PRESSION_EXTERIEUR [R];HYGROMETRIE_CELLULE [R];TEMPERATURE_REPRISE [R];TEMPERATURE_CONSIGNE [R];TEMPERATURE_SOUFFLAGE [R];TEMPERATURE_ALLER_CHAUD [R];TEMPERATURE_ALLER_FROID [R];MA_VARIATEUR [B]
2024-05-12 18:45:27;;0;45;-6;1055;61;-5,5999999;-6,3;-6,1999998;43,200001;-12,2;0
2024-05-12 18:50:27;;0;69;-6,0999999;1055;62;-5,6999998;-6,8;-6,1999998;43,099998;-11,6;0
2024-05-12 18:55:27;;0;45;-7;1055;62;-6,5999999;-7,3;-7,3000002;43,799999;-11,3;0
2024-05-12 19:00:27;;0;57;-7,3000002;1055;63;-7;-7,9;-7,6999998;43,700001;-12,2;0
2024-05-12 19:05:28;;0;69;-7,6999998;1055;65;-7,3000002;-8,4;-8,1999998;43,5;-11,9;0
2024-05-12 19:10:28;;0;69;-8,1999998;1055;65;-7,8000002;-8,9;-8,6000004;43,400002;-11,9;0
2024-05-12 19:15:28;;0;92;-8,3000002;1055;67;-7,9000001;-9,4;-8,6000004;43,200001;-12,1;0
2024-05-12 19:20:28;;0;100;-8,8000002;1055;67;-8,1999998;-10;-8,8999996;43,099998;-11,6;0
2024-05-12 19:25:28;;0;98;-8,8999996;1055;68;-8,3999996;-10;-9,1000004;43,599998;-11,9;0
2024-05-12 19:30:28;;0;100;-8,8000002;1055;69;-8,3000002;-10;-9;43,700001;-11,5;0
2024-05-12 19:35:28;;0;80;-9,1999998;1055;68;-8,6999998;-10;-9,3000002;43,5;-11,9;0
2024-05-12 19:40:28;;0;80;-9,1999998;1055;69;-8,6999998;-10;-9,3000002;43,299999;-12,1;0
2024-05-12 19:45:28;;0;63;-9,5;1055;69;-9;-10;-9,6000004;43,200001;-11,6;0
2024-05-12 19:50:28;;0;69;-9,3999996;1055;70;-8,8999996;-10;-9,5;43;-12,3;0
2024-05-12 19:55:28;;0;69;-9,5;1055;70;-8,8999996;-10;-9,5;43,900002;-11,7;0
